"AttributeName","Consistency","ValueIDS","RecordIDS","Values","FusedValue","IsCorrect","CorrectValue"
"Revenue","0.3333333333333333","Revenue-{fortune_500_id_1030+top_2000_id_1018+us_companies_id_1086}","fortune_500_id_1030+top_2000_id_1018+us_companies_id_1086","{0.0|0.0|0.0}","0.0","true","0.0"
"Name","0.5","Name-{top_2000_id_1482+us_companies_id_1399}","top_2000_id_1482+us_companies_id_1399","{Reed Elsevier|Reed Elsevier}","Reed Elsevier","true","Reed Elsevier"
"Assets","0.3333333333333333","Assets-{fortune_500_id_1497+top_2000_id_2372+us_companies_id_1078}","fortune_500_id_1497+top_2000_id_2372+us_companies_id_1078","{0.0|0.0|0.0}","0.0","true","0.0"
"Name","0.0","Name-{top_2000_id_1705+us_companies_id_1014}","top_2000_id_1705+us_companies_id_1014","{RSA Insurance Group|AllState Insurance Group}","RSA Insurance Group",,
"Revenue","0.5","Revenue-{fortune_500_id_1035+us_companies_id_1444}","fortune_500_id_1035+us_companies_id_1444","{0.0|0.0}","0.0","true","0.0"
"Assets","0.6666666666666666","Assets-{fortune_500_id_1270+top_2000_id_1517+us_companies_id_1082}","fortune_500_id_1270+top_2000_id_1517+us_companies_id_1082","{0.0|0.0|0.0}","0.0","true","0.0"
"Revenuesource","1.0","Revenuesource-{us_companies_id_1146}","us_companies_id_1146","{Not reported by company}","Not reported by company",,
"Marketvalue","0.0","Marketvalue-{top_2000_id_1217+us_companies_id_1141}","top_2000_id_1217+us_companies_id_1141","{38.1|0.0}","0.0",,
"Revenuesource","1.0","Revenuesource-{us_companies_id_1158}","us_companies_id_1158","{Not reported by company}","Not reported by company",,
"Marketvalue","0.0","Marketvalue-{fortune_500_id_1030+top_2000_id_1018+us_companies_id_1086}","fortune_500_id_1030+top_2000_id_1018+us_companies_id_1086","{103.449|1864.7|0.0}","103.449","true","103.449"
"Revenuesource","1.0","Revenuesource-{us_companies_id_1364}","us_companies_id_1364","{Venture Capital}","Venture Capital",,
"Assets","1.0","Assets-{top_2000_id_1480+us_companies_id_1419}","top_2000_id_1480+us_companies_id_1419","{0.0|0.0}","0.0",,
"Revenuesource","1.0","Revenuesource-{us_companies_id_1461}","us_companies_id_1461","{Not reported by company}","Not reported by company",,
"Assets","1.0","Assets-{fortune_500_id_1076+us_companies_id_1273}","fortune_500_id_1076+us_companies_id_1273","{0.0|0.0}","0.0","true","0.0"
"Foundingdate","1.0","Foundingdate-{us_companies_id_1072}","us_companies_id_1072","{1984}","1984",,
"Marketvalue","0.0","Marketvalue-{top_2000_id_1939+us_companies_id_1065}","top_2000_id_1939+us_companies_id_1065","{61.8|0.0}","0.0",,
"Revenue","0.5","Revenue-{top_2000_id_1024+us_companies_id_1012}","top_2000_id_1024+us_companies_id_1012","{0.0|0.0}","0.0","true","0.0"
"Revenue","0.5","Revenue-{top_2000_id_1172+us_companies_id_1066}","top_2000_id_1172+us_companies_id_1066","{0.0|0.0}","0.0","true","0.0"
"Name","0.5","Name-{top_2000_id_1245+us_companies_id_1050}","top_2000_id_1245+us_companies_id_1050","{BlackRock|BlackRock}","BlackRock",,
"Marketvalue","0.0","Marketvalue-{top_2000_id_1305+us_companies_id_1005}","top_2000_id_1305+us_companies_id_1005","{16.4|0.0}","0.0",,
"Revenue","0.5","Revenue-{top_2000_id_1327+us_companies_id_1085}","top_2000_id_1327+us_companies_id_1085","{0.0|0.0}","0.0",,
"Name","0.3333333333333333","Name-{fortune_500_id_1030+top_2000_id_1018+us_companies_id_1086}","fortune_500_id_1030+top_2000_id_1018+us_companies_id_1086","{Citigroup|Citigroup|Citigroup}","Citigroup","true","Citigroup"
"Revenue","0.5","Revenue-{top_2000_id_2533+us_companies_id_1514}","top_2000_id_2533+us_companies_id_1514","{0.0|0.0}","0.0",,
"Revenue","0.5","Revenue-{top_2000_id_2279+us_companies_id_1303}","top_2000_id_2279+us_companies_id_1303","{0.0|0.0}","0.0",,
